# cfgfile =demo_res/MYGI/MYGI.1903.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M15,2.478243,0.000028,26.265149,-0.000137,False,4891.401320,-24.116200,1701.057890,14.658840,182.360000,1.620000,-0.630000,4894.941120,-23.488090,1689.966670,15.230730,182.500000,-0.690000,-1.550000,-0.000236,0.118765,-0.005096,-1.306563,0.162418
1,S01,L01,M15,2.362308,0.000009,19.452219,-0.000189,False,4971.394400,-20.070830,1474.878420,15.012850,185.810000,-1.350000,-2.780000,4974.818265,-21.607960,1465.825290,15.126180,186.160000,1.120000,-0.400000,-0.000243,0.114201,-0.002526,-1.236546,0.168709
2,S01,L01,M12,3.367777,-0.000000,49.183693,-0.000106,False,4972.484465,-20.460260,1471.924890,14.842310,186.130000,-0.890000,-2.090000,4976.913800,-21.195540,1459.668760,15.478870,186.040000,0.060000,-2.160000,-0.000243,0.114111,-0.002476,-1.235155,0.168833
3,S01,L01,M12,3.346387,0.000020,48.839192,-0.000111,False,4981.394760,-22.941030,1447.372000,15.001580,187.200000,0.080000,-0.270000,4985.802705,-22.746340,1435.294800,15.190490,186.850000,-0.410000,-2.360000,-0.000244,0.113604,-0.002196,-1.227389,0.169528
4,S01,L01,M15,2.320463,0.000046,16.081911,-0.000200,False,5011.395990,-27.987970,1370.527240,15.697100,184.190000,3.180000,-0.610000,5014.778010,-27.922430,1361.060250,14.998980,184.500000,-2.400000,-2.080000,-0.000247,0.111927,-0.001278,-1.201701,0.171822
5,S01,L01,M13,3.781973,-0.000057,54.906393,-0.000351,False,5031.396715,-28.462690,1321.495340,16.032000,182.290000,2.160000,-1.370000,5036.240245,-28.434950,1309.631930,14.949370,182.180000,1.120000,-0.750000,-0.000249,0.110750,-0.000642,-1.183683,0.173427
6,S01,L01,M14,3.186111,0.000009,46.323756,-0.000454,False,5032.486885,-28.237240,1318.022950,15.435250,182.550000,-0.950000,-1.820000,5036.734555,-28.217540,1308.487450,15.221700,182.080000,1.320000,-1.010000,-0.000249,0.110705,-0.000617,-1.182995,0.173488
7,S01,L01,M14,3.168221,0.000071,46.004001,-0.000460,False,5041.397490,-28.162450,1296.557690,14.600960,182.350000,-1.390000,-0.880000,5045.627270,-27.361930,1286.028880,15.216380,182.910000,-0.760000,-2.080000,-0.000250,0.110200,-0.000346,-1.175271,0.174175
8,S01,L01,M15,2.294348,-0.000007,13.577527,-0.000217,False,5042.487245,-27.727220,1294.363150,14.958520,182.090000,0.840000,-1.610000,5045.843150,-27.464400,1285.483390,15.179200,182.990000,-0.890000,-1.880000,-0.000250,0.110163,-0.000327,-1.174705,0.174225
9,S01,L01,M15,2.287333,-0.000019,12.847835,-0.000223,False,5051.397550,-26.823980,1271.726470,14.211620,182.820000,-1.270000,-2.550000,5054.746440,-26.700660,1263.972630,15.335450,181.760000,-0.220000,-1.400000,-0.000251,0.109658,-0.000057,-1.166983,0.174911
10,S01,L01,M12,3.194577,-0.000018,46.207083,-0.000167,False,5052.487615,-27.101120,1269.804030,14.834360,182.270000,1.210000,-1.470000,5056.743750,-26.327550,1258.977560,14.817400,181.550000,-1.320000,-1.730000,-0.000251,0.109571,-0.000010,-1.165646,0.175030
11,S01,L01,M12,3.175817,0.000046,45.857631,-0.000177,False,5061.397940,-26.160510,1247.409300,15.180330,181.880000,-0.380000,-1.140000,5065.635315,-24.761740,1236.628100,14.334430,181.550000,-2.060000,-2.860000,-0.000252,0.109067,0.000257,-1.157937,0.175713
12,S01,L01,M13,3.699823,-0.000057,53.915204,-0.000384,False,5062.488005,-25.952030,1245.212080,15.716270,181.160000,1.030000,-1.170000,5067.249385,-25.091020,1233.337210,14.477890,181.990000,0.330000,-1.320000,-0.000252,0.108990,0.000298,-1.156767,0.175817
13,S01,L01,M14,3.108131,-0.000019,44.831979,-0.000484,False,5072.488475,-23.866670,1220.355660,15.138530,181.900000,-0.520000,-1.940000,5076.658165,-24.348440,1209.880880,15.029990,182.580000,0.010000,-1.120000,-0.000253,0.108441,0.000588,-1.148372,0.176561
14,S01,L01,M15,2.267828,-0.000026,10.241043,-0.000246,False,5082.488730,-23.710460,1195.275850,14.230410,184.510000,-1.750000,-0.620000,5085.818115,-22.927210,1188.022250,16.486020,183.830000,1.110000,-2.180000,-0.000254,0.107899,0.000873,-1.140094,0.177293
15,S01,L01,M15,2.262643,-0.000023,9.492652,-0.000251,False,5091.399140,-23.798460,1174.428540,15.286150,185.540000,2.990000,-0.700000,5094.723340,-22.899220,1165.164520,15.008830,185.910000,-3.640000,-2.560000,-0.000255,0.107396,0.001136,-1.132404,0.177973
16,S01,L01,M12,3.112747,0.000046,44.618893,-0.000207,False,5092.489210,-23.488990,1171.881680,16.024370,185.140000,2.630000,-1.030000,5096.663515,-23.824720,1160.813030,13.875980,186.250000,-1.360000,-0.900000,-0.000255,0.107310,0.001180,-1.131097,0.178088
17,S01,L01,M12,3.096287,0.000084,44.283925,-0.000213,False,5101.399520,-23.413370,1148.783350,14.870480,186.220000,-3.980000,-2.990000,5105.557365,-24.708470,1139.993830,15.150640,186.500000,1.600000,-0.700000,-0.000256,0.106808,0.001442,-1.123420,0.178765
18,S01,L01,M14,3.014181,-0.000122,42.872844,-0.000502,False,5121.400305,-26.099600,1100.806050,15.242570,185.580000,0.830000,-2.170000,5125.476045,-27.297270,1089.958360,14.609210,185.650000,-1.280000,-0.400000,-0.000257,0.105682,0.002022,-1.106238,0.180278
19,S01,L01,M15,2.248373,-0.000001,6.868002,-0.000263,False,5122.490370,-26.154930,1098.104090,15.574850,185.370000,0.620000,-1.770000,5125.800300,-27.312180,1089.366010,14.739330,185.500000,-0.510000,-0.500000,-0.000257,0.105642,0.002042,-1.105630,0.180332
20,S01,L01,M15,2.244868,0.000014,6.087053,-0.000268,False,5131.400675,-27.056010,1075.300370,14.644650,185.090000,-0.210000,-0.960000,5134.707100,-26.731990,1066.966010,15.413120,184.910000,0.090000,-1.570000,-0.000258,0.105140,0.002299,-1.097974,0.181004
21,S01,L01,M12,3.037717,0.000129,43.042571,-0.000234,False,5132.490740,-27.307000,1072.747620,15.005630,184.920000,0.560000,-0.140000,5136.590015,-27.042520,1062.333200,15.445090,184.900000,-0.160000,-1.710000,-0.000258,0.105057,0.002341,-1.096697,0.181117
22,S01,L01,M12,3.020132,0.000101,42.678828,-0.000240,False,5141.401160,-27.042310,1050.210380,15.114810,184.340000,1.760000,-2.240000,5145.482850,-27.645600,1038.944260,14.327840,183.820000,-2.290000,-0.360000,-0.000259,0.104556,0.002595,-1.089057,0.181787
23,S01,L01,M13,3.491723,-0.000123,51.094868,-0.000442,False,5142.491225,-27.276790,1047.780850,15.738180,183.650000,2.630000,-0.990000,5147.044505,-27.629490,1036.204130,15.134390,183.120000,1.930000,-0.670000,-0.000259,0.104481,0.002633,-1.087920,0.181886
24,S01,L01,M14,2.942056,-0.000123,41.198980,-0.000523,False,5161.401925,-26.429850,1000.648380,16.158610,182.360000,2.510000,-1.090000,5165.405540,-26.401980,990.581830,14.845670,183.050000,1.160000,-1.090000,-0.000261,0.103434,0.003160,-1.071954,0.183284
25,S01,L01,M15,2.236768,0.000002,3.385795,-0.000288,False,5162.491990,-25.988520,996.850140,15.440790,182.380000,-1.870000,-1.960000,5165.790315,-26.527700,989.766410,15.059660,182.840000,1.880000,-0.630000,-0.000261,0.103392,0.003181,-1.071323,0.183339
26,S01,L01,M12,2.962737,-0.000023,41.373255,-0.000268,False,5172.492375,-25.945390,972.860270,14.723330,182.550000,0.360000,-1.060000,5176.516670,-25.291260,962.356180,14.885890,182.650000,-1.900000,-1.470000,-0.000262,0.102811,0.003470,-1.062461,0.184113
27,S01,L01,M12,2.947047,-0.000008,40.985191,-0.000277,False,5181.402600,-24.675490,950.326740,14.955070,183.200000,-1.780000,-2.070000,5185.411205,-24.285440,940.916350,15.435930,183.190000,0.220000,-2.040000,-0.000263,0.102311,0.003717,-1.054858,0.184775
28,S01,L01,M13,3.368608,-0.000094,49.230217,-0.000483,False,5191.393120,-24.220080,926.317080,15.228550,184.190000,0.820000,-1.810000,5195.823285,-24.415170,914.761910,14.961560,184.670000,-0.480000,-0.890000,-0.000264,0.101740,0.003998,-1.046157,0.185533
29,S01,L01,M14,2.890286,-0.000034,39.950077,-0.000542,False,5192.483085,-24.062150,923.289820,15.237590,183.900000,-0.310000,-1.670000,5196.434930,-24.529350,913.087910,14.918800,184.810000,-0.520000,-0.900000,-0.000264,0.101692,0.004022,-1.045431,0.185596
