# cfgfile =demo_timeSeq/MYGI/MYGI.1209.takuyo_t1-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.495098,-0.000056,27.594825,-0.002196,False,65086.202070,12.286190,1729.073680,21.782940,183.620000,-0.170000,0.740000,65089.758725,13.196300,1719.458140,21.819290,183.600000,0.920000,0.280000,-0.804745,0.038871,0.033398,0.206932,-0.154438
1,S01,L01,M12,3.568372,-0.000068,53.217688,-0.003102,False,65096.202070,14.294110,1701.935960,21.875080,184.280000,0.880000,0.550000,65100.832000,15.093220,1689.044340,21.876980,185.030000,0.550000,0.740000,-0.804575,0.038567,0.032804,0.206073,-0.154032
2,S01,L01,M13,4.175228,-0.000059,60.428361,-0.003740,False,65106.202070,15.538660,1674.366220,21.563880,186.420000,0.300000,0.130000,65111.438855,15.566690,1660.084560,22.289540,187.270000,0.670000,0.790000,-0.804409,0.038270,0.032223,0.205233,-0.153634
3,S01,L01,M14,3.496176,-0.000031,52.425587,-0.003145,False,65116.202070,16.312210,1647.190240,22.002400,187.830000,1.150000,-0.130000,65120.759805,15.913460,1634.374030,21.548350,188.180000,-0.370000,0.570000,-0.804252,0.037992,0.031680,0.204446,-0.153259
4,S01,L01,M15,2.432508,0.000029,24.351630,-0.002106,False,65126.202070,15.297340,1619.601330,21.892560,189.360000,0.540000,1.250000,65129.696135,15.504550,1610.032330,21.876720,190.010000,0.120000,0.010000,-0.804098,0.037721,0.031150,0.203674,-0.152891
5,S01,L01,M12,3.463837,-0.000058,51.672080,-0.002961,False,65136.202070,14.347510,1592.237890,21.938480,190.890000,0.390000,0.860000,65140.727465,14.277450,1579.978050,22.027300,191.200000,0.720000,0.410000,-0.803926,0.037419,0.030561,0.202818,-0.152482
6,S01,L01,M13,4.051188,-0.000067,59.158910,-0.003565,False,65146.202070,13.221910,1564.895930,22.330090,191.560000,0.890000,0.360000,65151.314815,12.298370,1550.681140,21.661680,192.310000,0.420000,0.510000,-0.803757,0.037125,0.029987,0.201980,-0.152079
7,S01,L01,M14,3.393556,0.000061,50.834983,-0.003002,False,65156.202070,10.972300,1537.435110,22.193600,192.860000,0.390000,0.590000,65160.657185,11.070540,1524.920230,21.981590,192.510000,1.090000,-0.530000,-0.803598,0.036848,0.029449,0.201193,-0.151700
8,S01,L01,M15,2.377108,0.000065,20.932947,-0.002028,False,65166.202070,8.420840,1509.553560,21.456850,193.060000,-0.360000,0.840000,65169.640735,8.043910,1500.304330,22.460320,193.460000,1.140000,-0.150000,-0.803441,0.036578,0.028922,0.200421,-0.151327
9,S01,L01,M12,3.365577,-0.000065,50.109446,-0.002832,False,65176.202070,6.474980,1482.132350,21.796210,193.490000,0.750000,-0.280000,65180.629205,4.076420,1469.966760,21.998040,193.970000,0.270000,0.900000,-0.803267,0.036279,0.028340,0.199568,-0.150914
10,S01,L01,M13,3.928233,-0.000085,57.814505,-0.003401,False,65186.202070,2.399250,1454.793110,21.961870,194.380000,0.460000,1.040000,65191.191860,1.398780,1440.678580,21.675080,194.050000,0.070000,-0.230000,-0.803095,0.035987,0.027773,0.198732,-0.150507
11,S01,L01,M14,3.290601,-0.000001,49.116813,-0.002865,False,65196.202070,-1.463130,1427.289140,21.800020,194.540000,0.060000,0.950000,65200.554230,-2.192590,1415.504330,22.145550,194.540000,0.680000,0.410000,-0.802934,0.035712,0.027239,0.197946,-0.150123
12,S01,L01,M15,2.329638,0.000030,17.382179,-0.001959,False,65206.202070,-4.556480,1399.836210,21.766950,193.550000,0.240000,0.220000,65209.593265,-5.162010,1390.708920,21.768910,193.570000,0.590000,-0.340000,-0.802774,0.035442,0.026716,0.197173,-0.149745
