# cfgfile =demo_timeSeq/MYGI/MYGI.1212.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M15,2.444423,-0.000269,24.694258,-0.000814,False,2967.542365,45.688530,1649.600180,16.482120,194.920000,-0.190000,-3.090000,2971.048345,43.475210,1638.252560,16.073630,194.780000,1.310000,0.020000,-0.000169,0.066796,-0.046525,-0.214277,-0.221547
1,S01,L01,M12,3.466217,-0.000117,50.565715,-0.000933,False,2977.542665,43.118030,1616.983250,16.121920,195.690000,0.990000,-1.200000,2982.070440,41.245330,1601.804110,16.206930,194.490000,-0.630000,-0.480000,-0.000170,0.066092,-0.046446,-0.213769,-0.220849
2,S01,L01,M13,4.060158,-0.000064,57.730962,-0.001122,False,2987.543040,39.187240,1583.563140,15.791340,195.350000,1.100000,-0.070000,2992.664755,38.731260,1566.919230,15.788620,196.540000,-0.480000,0.020000,-0.000170,0.065404,-0.046370,-0.213270,-0.220166
3,S01,L01,M15,2.377058,-0.000212,20.758178,-0.000756,False,3007.543850,35.076650,1518.894640,16.134800,195.610000,0.050000,-3.390000,3010.982465,32.436250,1508.443400,15.786430,195.860000,0.160000,0.300000,-0.000170,0.064127,-0.046230,-0.212343,-0.218891
4,S01,L01,M12,3.351792,-0.000124,48.824677,-0.000857,False,3017.544235,31.652020,1487.916970,16.268060,195.970000,-0.050000,-3.600000,3021.957585,30.160700,1475.304030,15.347150,195.610000,-0.040000,0.730000,-0.000171,0.063430,-0.046153,-0.211836,-0.218191
5,S01,L01,M13,3.922818,-0.000015,56.311613,-0.001029,False,3027.544565,29.317080,1459.061850,16.262980,195.440000,-0.710000,-0.430000,3032.528940,28.606040,1444.503610,15.820880,196.700000,1.080000,-3.130000,-0.000171,0.062747,-0.046079,-0.211338,-0.217504
6,S01,L01,M14,3.299201,-0.000023,48.236986,-0.001017,False,3037.544990,27.566470,1430.765090,15.671830,197.060000,-2.080000,-1.090000,3041.905750,27.285040,1418.639470,15.897910,196.190000,-0.590000,-2.180000,-0.000171,0.062105,-0.046010,-0.210869,-0.216856
7,S01,L01,M15,2.327948,-0.000135,17.138309,-0.000710,False,3047.545365,26.019880,1404.044550,16.061790,195.700000,-0.220000,-1.840000,3050.934870,25.552630,1394.831750,16.129320,195.870000,-0.510000,-2.440000,-0.000171,0.061475,-0.045943,-0.210409,-0.216219
8,S01,L01,M12,3.256887,0.000002,47.221334,-0.000797,False,3057.545760,25.671820,1377.657160,16.310700,193.760000,-1.170000,-2.770000,3061.864205,24.508850,1366.185220,16.393370,192.170000,0.810000,-1.280000,-0.000171,0.060784,-0.045869,-0.209902,-0.215517
9,S01,L01,M14,3.209491,0.000112,46.676570,-0.000951,False,3077.546485,25.457580,1325.393990,16.003710,191.160000,0.260000,-1.650000,3081.817535,25.479760,1313.936780,16.071110,189.610000,0.210000,-1.580000,-0.000172,0.059467,-0.045731,-0.208936,-0.214175
10,S01,L01,M15,2.291098,-0.000135,13.714005,-0.000674,False,3087.546860,25.914120,1299.255790,15.567730,189.380000,-0.690000,0.410000,3090.899515,27.429090,1290.805550,16.589270,190.370000,0.740000,-2.710000,-0.000172,0.058840,-0.045666,-0.208474,-0.213533
11,S01,L01,M12,3.165307,0.000048,45.574565,-0.000748,False,3097.537205,27.771760,1272.957730,16.500280,191.730000,0.640000,-2.280000,3101.764070,28.137210,1261.855740,15.475680,193.270000,0.060000,-1.310000,-0.000172,0.058156,-0.045595,-0.207970,-0.212830
12,S01,L01,M13,3.692818,-0.000074,53.658790,-0.000892,False,3107.537565,27.677010,1246.926630,15.978620,193.790000,-1.690000,-0.450000,3112.291940,27.607640,1233.897950,16.103730,194.770000,1.640000,-0.850000,-0.000173,0.057484,-0.045526,-0.207473,-0.212137
13,S01,L01,M14,3.124456,0.000072,45.108599,-0.000891,False,3117.538035,27.632770,1219.421580,15.616790,195.170000,0.690000,-2.770000,3121.724050,26.587940,1208.030130,15.423590,195.920000,-0.960000,-0.070000,-0.000173,0.056849,-0.045461,-0.207003,-0.211480
14,S01,L01,M15,2.261663,-0.000041,10.058411,-0.000641,False,3127.538370,26.926340,1191.517690,16.717340,195.760000,1.530000,-3.910000,3130.861590,24.979260,1182.020210,15.521590,194.830000,-0.160000,1.010000,-0.000173,0.056225,-0.045398,-0.206541,-0.210832
15,S01,L01,M12,3.076157,0.000203,43.816415,-0.000697,False,3137.538750,24.976160,1163.892130,16.006290,194.870000,2.250000,0.570000,3141.676465,25.220910,1151.833330,15.798400,195.970000,-0.510000,-1.230000,-0.000173,0.055547,-0.045329,-0.206037,-0.210126
16,S01,L01,M13,3.573438,-0.000082,52.113688,-0.000823,False,3147.539080,23.858120,1134.677940,16.296250,196.030000,1.640000,-2.610000,3152.174075,22.772450,1121.040460,15.735640,196.790000,-0.780000,-1.760000,-0.000174,0.054881,-0.045263,-0.205542,-0.209431
17,S01,L01,M14,3.035441,0.000043,43.266786,-0.000826,False,3157.539510,22.116000,1106.038390,16.170380,196.770000,0.210000,-1.710000,3161.636510,20.605240,1094.359270,16.744250,195.250000,-0.010000,-1.400000,-0.000174,0.054249,-0.045200,-0.205071,-0.208769
18,S01,L01,M15,2.239713,0.000048,6.092511,-0.000608,False,3167.539835,18.784480,1076.637390,16.295730,195.560000,0.600000,-0.030000,3170.841105,19.057080,1067.305900,15.095120,196.770000,0.750000,-2.490000,-0.000174,0.053627,-0.045139,-0.204607,-0.208116
