# cfgfile =demo_timeSeq/MYGI/MYGI.1309.kaiyo_kx-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.458848,-0.000031,25.376006,-0.000333,False,59735.541150,5.707570,1656.915230,15.958640,172.050000,0.800000,0.520000,59739.061555,7.557250,1646.891330,15.518630,173.310000,1.650000,-2.090000,-0.184194,-0.088618,0.005141,-0.356452,0.036848
1,S01,L01,M12,3.505977,0.000042,52.220113,-0.000620,False,59745.541555,8.409630,1627.270930,15.912780,174.260000,1.170000,-2.010000,59750.109090,7.495310,1613.013540,15.704350,174.610000,0.150000,1.210000,-0.184642,-0.088402,0.005414,-0.354246,0.035864
2,S01,L01,M15,2.394808,0.000026,21.596050,-0.000341,False,59775.542690,8.075370,1533.842290,15.719950,176.510000,0.110000,-0.340000,59778.999055,7.409040,1523.290300,16.007520,175.550000,0.700000,0.400000,-0.185895,-0.087800,0.006171,-0.348088,0.033125
3,S01,L01,M12,3.389592,0.000088,50.398809,-0.000623,False,59785.543075,7.639290,1501.975290,15.536190,176.070000,-1.560000,-0.060000,59789.994225,8.517630,1488.366490,15.855240,175.700000,0.520000,-1.780000,-0.186340,-0.087587,0.006439,-0.345898,0.032153
4,S01,L01,M14,3.311291,0.000037,49.372739,-0.000366,False,59805.543860,7.673270,1439.154350,15.648660,176.060000,-0.910000,-1.190000,59809.916710,7.287780,1425.043610,15.597650,176.020000,-0.520000,-0.450000,-0.187186,-0.087184,0.006947,-0.341741,0.030313
5,S01,L01,M15,2.339228,0.000002,17.528333,-0.000348,False,59815.544215,7.219870,1407.517420,15.580040,175.750000,-0.690000,-0.080000,59818.945000,7.211880,1397.007350,15.894940,175.580000,1.200000,-0.930000,-0.187588,-0.086992,0.007188,-0.339764,0.029439
6,S01,L01,M12,3.276522,0.000029,48.456819,-0.000622,False,59825.544605,6.946670,1375.844900,16.041000,176.040000,0.350000,-0.730000,59829.882685,6.496050,1362.638280,15.664860,176.460000,2.230000,-0.370000,-0.188031,-0.086782,0.007452,-0.337592,0.028481
7,S01,L01,M13,3.814518,-0.000050,56.428356,-0.000598,False,59835.544970,5.598980,1345.207200,16.293110,177.500000,1.920000,0.730000,59840.421045,5.604330,1329.981970,15.528640,177.550000,0.440000,-0.790000,-0.188464,-0.086577,0.007710,-0.335464,0.027543
8,S01,L01,M15,2.295983,-0.000081,13.415164,-0.000353,False,59855.545780,4.138330,1284.897790,15.740670,175.870000,1.290000,-2.290000,59858.903320,2.536010,1274.185370,15.258400,175.510000,-1.620000,1.200000,-0.189274,-0.086194,0.008191,-0.331484,0.025794
9,S01,L01,M12,3.175392,-0.000063,46.569029,-0.000619,False,59865.546180,2.223760,1255.244720,16.271350,175.330000,0.780000,-0.250000,59869.783130,2.679010,1242.520290,15.084350,174.660000,-0.290000,-1.350000,-0.189713,-0.085987,0.008451,-0.329330,0.024848
10,S01,L01,M14,3.108191,0.000008,45.536388,-0.000381,False,59885.546870,1.239800,1196.636820,16.238570,174.030000,1.210000,0.690000,59889.716620,1.981870,1184.232350,15.190820,172.850000,-0.270000,-1.100000,-0.190551,-0.085593,0.008945,-0.325219,0.023049
11,S01,L01,M15,2.265718,-0.000041,9.376265,-0.000360,False,59895.547315,1.585610,1167.690430,15.195400,173.070000,0.630000,0.280000,59898.874590,2.533790,1157.809980,15.704730,172.800000,-1.030000,-1.670000,-0.190952,-0.085406,0.009181,-0.323251,0.022190
12,S01,L01,M12,3.081597,-0.000018,44.643751,-0.000616,False,59905.537635,2.775610,1139.350660,15.370250,172.670000,0.130000,-1.970000,59909.680790,2.031520,1127.669910,16.226520,172.900000,-0.080000,0.940000,-0.191387,-0.085203,0.009435,-0.321118,0.021260
13,S01,L01,M13,3.565913,-0.000033,53.138103,-0.000599,False,59915.538090,3.159490,1111.095730,15.785770,171.680000,-0.720000,-1.330000,59920.165560,3.012560,1098.636110,15.790660,171.190000,0.840000,0.320000,-0.191814,-0.085003,0.009686,-0.319020,0.020347
14,S01,L01,M14,3.024436,0.000036,43.729417,-0.000388,False,59925.538405,4.262030,1083.578730,15.608300,171.140000,-0.850000,-0.950000,59929.624400,4.442040,1072.741300,16.056940,171.560000,1.090000,0.180000,-0.192220,-0.084814,0.009922,-0.317031,0.019483
15,S01,L01,M15,2.247328,-0.000018,5.445564,-0.000367,False,59935.538790,5.657940,1056.221750,15.690670,172.750000,1.060000,-1.270000,59938.847675,5.536430,1046.520730,15.777780,173.220000,-0.720000,0.050000,-0.192621,-0.084629,0.010155,-0.315068,0.018631
16,S01,L01,M12,2.994077,0.000025,42.682687,-0.000613,False,59945.539180,6.359850,1027.726220,15.501570,173.710000,-1.100000,-1.090000,59949.594815,6.050870,1016.336690,16.171420,172.910000,0.130000,0.400000,-0.193052,-0.084429,0.010405,-0.312954,0.017716
