# cfgfile =demo_timeSeq/MYGI/MYGI.1605.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.455783,-0.000015,25.660139,-0.000296,False,52354.547010,26.540090,1673.113280,16.088400,209.850000,0.790000,-0.860000,52358.064350,23.134680,1666.223660,15.563450,208.180000,0.200000,-0.920000,-0.214225,0.022136,0.003928,-0.237216,0.086342
1,S01,L01,M12,3.511292,0.000108,51.900853,-0.000397,False,52364.537365,16.490280,1653.210760,15.979750,202.760000,0.100000,-0.450000,52369.110215,12.915200,1643.678960,15.921390,197.180000,0.380000,-1.820000,-0.213565,0.021752,0.004193,-0.235612,0.085403
2,S01,L01,M13,4.113578,0.000012,59.114088,-0.000513,False,52374.537725,8.333450,1632.107020,15.906850,189.490000,0.600000,-0.250000,52379.712860,5.053130,1620.485620,15.938810,182.150000,0.520000,1.250000,-0.212918,0.021377,0.004452,-0.234043,0.084486
3,S01,L01,M14,3.445166,0.000090,51.182514,-0.000460,False,52384.538060,3.986450,1609.104820,15.741540,175.500000,0.060000,0.460000,52389.044785,3.485810,1598.640520,16.027770,171.320000,0.830000,0.580000,-0.212312,0.021027,0.004693,-0.232572,0.083627
4,S01,L01,M15,2.407983,-0.000004,23.017929,-0.000296,False,52394.538545,4.192700,1585.943510,16.132120,170.560000,1.910000,0.470000,52398.008085,5.346310,1577.048080,15.494960,172.240000,-0.690000,-0.340000,-0.211717,0.020683,0.004928,-0.231131,0.082787
5,S01,L01,M12,3.427122,0.000103,50.650839,-0.000405,False,52404.538830,6.498040,1561.741820,15.728780,176.970000,0.560000,-1.040000,52409.027510,6.398760,1549.858380,15.741090,180.300000,-0.280000,-0.310000,-0.211059,0.020304,0.005187,-0.229537,0.081857
6,S01,L01,M13,4.003443,-0.000113,57.990972,-0.000523,False,52414.539350,6.313770,1535.149820,15.986790,182.380000,0.300000,-0.770000,52419.604350,5.262870,1520.987510,15.944230,182.140000,0.560000,0.180000,-0.210415,0.019933,0.005438,-0.227977,0.080950
7,S01,L01,M14,3.351271,0.000063,49.717506,-0.000465,False,52424.539650,5.045860,1506.578590,15.892260,180.490000,0.800000,-1.040000,52428.952480,4.193540,1493.193580,15.735840,179.500000,0.070000,0.380000,-0.209811,0.019586,0.005673,-0.226513,0.080098
8,S01,L01,M15,2.355218,0.000057,19.553980,-0.000302,False,52434.540085,3.588370,1475.940010,16.284690,178.580000,0.570000,1.150000,52437.956860,4.745130,1465.121100,15.655500,179.180000,0.000000,-1.820000,-0.209217,0.019246,0.005903,-0.225077,0.079264
9,S01,L01,M12,3.319397,-0.000070,48.921605,-0.000414,False,52444.540465,4.355800,1443.811330,15.781030,179.180000,-0.130000,-0.660000,52448.921420,3.868630,1429.467620,15.674320,179.560000,-0.420000,0.170000,-0.208563,0.018871,0.006154,-0.223495,0.078346
10,S01,L01,M13,3.865153,-0.000053,56.481898,-0.000530,False,52454.540800,3.513440,1410.686330,15.618690,179.510000,-0.680000,0.100000,52459.467510,3.009770,1394.191760,15.804770,179.150000,-1.390000,1.370000,-0.207922,0.018505,0.006399,-0.221946,0.077449
11,S01,L01,M14,3.238901,-0.000035,47.799443,-0.000467,False,52464.541215,3.034950,1377.616650,15.883290,178.830000,-0.830000,0.150000,52468.841675,3.307720,1363.717700,16.329200,177.740000,1.370000,-1.250000,-0.207318,0.018161,0.006627,-0.220488,0.076605
12,S01,L01,M15,2.303513,0.000053,15.249972,-0.000309,False,52474.541610,3.142480,1344.356020,16.255910,177.600000,1.070000,0.480000,52477.906680,3.269110,1332.631220,16.062930,177.170000,-0.070000,0.020000,-0.206725,0.017823,0.006851,-0.219056,0.075777
13,S01,L01,M12,3.202432,-0.000007,46.854893,-0.000421,False,52484.542045,3.633250,1309.733310,15.944500,177.020000,-0.040000,0.080000,52488.806035,3.841380,1294.746290,15.585830,177.400000,-0.990000,0.390000,-0.206075,0.017454,0.007094,-0.217487,0.074872
14,S01,L01,M13,3.718568,-0.000204,54.730541,-0.000533,False,52494.542445,3.821710,1275.543810,15.703120,177.120000,-0.690000,1.060000,52499.322570,4.852270,1259.699800,15.786580,177.170000,-0.120000,-1.000000,-0.205438,0.017093,0.007331,-0.215950,0.073986
