# cfgfile =demo_timeSeq/MYGI/MYGI.1704.meiyo_m5-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.671058,0.000275,33.684337,-0.000057,False,35101.399335,1072.803540,1097.013570,12.923790,212.830000,0.610000,0.530000,35105.131950,1063.169580,1086.758960,12.668700,212.230000,0.020000,-1.360000,-0.212441,-0.057013,0.029304,0.099596,0.119957
1,S01,L01,M12,2.869557,0.000143,38.606932,-0.000185,False,35102.189325,1070.710790,1094.638580,12.781960,212.680000,-0.060000,-0.100000,35106.120440,1060.243520,1084.272790,12.910640,211.960000,0.010000,-0.470000,-0.212486,-0.056978,0.029260,0.099388,0.119866
2,S01,L01,M13,3.829248,0.000256,54.571728,-0.000198,False,35102.979305,1068.665360,1092.322860,12.545930,212.590000,-0.800000,-0.880000,35107.870110,1055.527810,1079.311750,13.048220,211.490000,-0.860000,-0.440000,-0.212550,-0.056928,0.029198,0.099091,0.119736
3,S01,L01,M12,2.840242,-0.000028,37.853841,-0.000201,False,35113.399415,1041.211410,1064.806090,12.546360,209.960000,0.120000,-0.360000,35117.301215,1031.772320,1054.376120,12.829460,208.440000,-1.020000,-0.620000,-0.213051,-0.056538,0.028710,0.096769,0.118721
4,S01,L01,M13,3.785733,0.000141,54.082616,-0.000220,False,35114.189400,1039.289150,1062.825290,12.518460,209.680000,0.370000,-0.260000,35119.036690,1027.291380,1049.931820,13.011960,208.110000,-0.320000,-0.010000,-0.213115,-0.056488,0.028648,0.096475,0.118592
5,S01,L01,M14,3.759076,0.000219,53.966232,-0.000078,False,35114.979390,1037.467020,1060.674500,12.520210,209.310000,0.180000,-0.420000,35119.800025,1025.476050,1047.875710,12.976250,207.820000,0.020000,-0.120000,-0.213154,-0.056458,0.028610,0.096293,0.118513
6,S01,L01,M13,3.743588,0.000131,53.595840,-0.000240,False,35125.399445,1012.167290,1032.598340,12.572860,206.000000,0.350000,-0.460000,35130.204590,1000.935460,1019.780290,12.850330,205.870000,-1.800000,0.520000,-0.213677,-0.056048,0.028100,0.093865,0.117450
7,S01,L01,M14,3.717551,0.000019,53.484991,-0.000101,False,35126.189435,1010.463650,1030.470850,12.513300,205.880000,0.230000,-0.720000,35130.968545,999.274990,1017.735940,12.748370,205.150000,-1.510000,0.920000,-0.213716,-0.056018,0.028062,0.093684,0.117371
8,S01,L01,M15,2.618148,0.000166,31.877468,-0.000096,False,35126.979415,1008.792690,1028.416490,12.583590,206.100000,0.210000,-1.090000,35130.659120,999.922740,1018.553250,12.779170,205.430000,-1.750000,0.830000,-0.213728,-0.056008,0.028050,0.093628,0.117346
9,S01,L01,M14,3.677801,0.000255,52.998307,-0.000123,False,35137.399490,984.983370,1000.482280,12.596400,205.780000,-0.440000,-0.780000,35142.138850,974.407620,988.075530,13.047510,204.980000,0.310000,-0.320000,-0.214276,-0.055578,0.027517,0.091080,0.116230
