# cfgfile =demo_timeSeq/MYGI/MYGI.1906.meiyo_m5-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M15,2.412908,-0.000385,22.193998,-0.000650,False,68046.396900,-63.604630,1564.593980,13.018990,160.720000,-1.380000,1.770000,68049.871365,-60.782760,1553.285130,13.258270,161.010000,-0.560000,-0.280000,0.000423,0.012600,0.020740,0.219725,-0.715639
1,S01,L01,M13,4.056533,-0.000776,57.439471,-0.001126,True,68047.486720,-62.631710,1561.407520,13.195010,160.790000,-0.380000,0.410000,68052.604810,-59.439220,1544.154210,13.239120,161.430000,0.260000,0.840000,0.000423,0.012585,0.020522,0.219228,-0.714462
2,S01,L01,M12,3.445357,-0.000595,49.960729,-0.000843,False,68056.396775,-56.783680,1531.036430,13.076020,162.040000,-1.290000,0.210000,68060.903690,-53.885050,1515.761950,13.017050,162.220000,-1.250000,-0.130000,0.000424,0.012517,0.019540,0.216992,-0.709167
3,S01,L01,M15,2.378128,-0.000376,19.948073,-0.000535,False,68067.486915,-50.206810,1493.298380,13.122240,162.420000,-0.600000,0.440000,68070.926600,-48.146340,1481.575180,13.521350,162.640000,0.600000,0.230000,0.000426,0.012435,0.018340,0.214253,-0.702688
4,S01,L01,M14,3.310366,-0.000375,48.095683,-0.000717,False,68076.396985,-44.640070,1462.555670,13.023540,162.210000,-0.020000,-0.150000,68080.768910,-42.598860,1446.867730,13.369150,163.580000,-1.290000,1.480000,0.000427,0.012365,0.017276,0.211825,-0.696951
5,S01,L01,M12,3.373692,-0.000305,48.851393,-0.000675,False,68077.486910,-44.065140,1458.788980,13.376070,162.400000,0.570000,0.130000,68081.922160,-41.682930,1442.906620,12.874580,164.010000,-1.440000,0.850000,0.000427,0.012357,0.017149,0.211534,-0.696266
6,S01,L01,M15,2.349528,-0.000128,17.844881,-0.000436,False,68086.397015,-38.984430,1427.589730,13.577730,167.180000,-0.550000,-0.100000,68089.808100,-37.266220,1415.825770,13.059990,168.700000,-0.100000,-1.600000,0.000428,0.012296,0.016200,0.209363,-0.691142
7,S01,L01,M13,3.902858,-0.000223,55.834024,-0.000745,False,68087.486940,-38.571840,1423.624120,13.299060,167.710000,-1.590000,-0.070000,68092.451355,-36.913030,1406.220990,13.334750,170.500000,-0.030000,0.320000,0.000429,0.012282,0.015990,0.208881,-0.690005
8,S01,L01,M14,3.248686,-0.000151,47.041938,-0.000561,False,68097.487395,-35.626780,1388.243310,13.073390,173.430000,-0.890000,-1.510000,68101.797640,-36.065960,1372.708780,13.507510,175.140000,-0.240000,-0.250000,0.000430,0.012214,0.014900,0.206386,-0.684123
9,S01,L01,M13,3.827963,-0.000119,54.997020,-0.000581,False,68106.397060,-36.431900,1356.114390,13.255850,174.800000,0.440000,-0.220000,68111.286580,-37.231970,1338.305050,13.067860,174.310000,-1.280000,0.000000,0.000431,0.012151,0.013867,0.204017,-0.678546
10,S01,L01,M15,2.320598,-0.000031,15.390821,-0.000333,False,68107.487400,-36.780300,1352.004480,13.318820,174.910000,-0.370000,0.320000,68110.869555,-37.255720,1339.891370,13.251880,174.500000,-0.940000,0.120000,0.000431,0.012148,0.013830,0.203930,-0.678342
11,S01,L01,M14,3.190126,-0.000096,45.990102,-0.000430,False,68116.397310,-38.040630,1319.950810,13.481340,173.180000,-0.260000,-0.010000,68120.648995,-38.498810,1304.809140,13.136130,170.430000,-0.260000,1.110000,0.000433,0.012086,0.012784,0.201528,-0.672695
12,S01,L01,M12,3.246862,-0.000115,46.722714,-0.000387,False,68117.487130,-38.172110,1316.053130,13.355610,172.600000,-0.650000,0.020000,68121.795550,-38.699700,1300.878730,13.432220,170.240000,0.610000,1.420000,0.000433,0.012079,0.012659,0.201241,-0.672020
13,S01,L01,M15,2.298538,-0.000034,13.167814,-0.000246,False,68126.397195,-38.130760,1284.600380,13.368070,169.480000,-0.450000,0.140000,68129.757290,-37.879290,1272.916650,13.329620,168.900000,0.230000,0.620000,0.000434,0.012025,0.011719,0.199077,-0.666938
14,S01,L01,M13,3.746688,-0.000074,54.042501,-0.000411,False,68127.487225,-37.937420,1280.664480,13.174050,169.200000,-0.690000,0.060000,68132.295470,-37.669770,1263.953320,13.361070,168.740000,-0.590000,0.590000,0.000434,0.012013,0.011517,0.198612,-0.665847
15,S01,L01,M12,3.190752,-0.000091,45.707194,-0.000266,False,68136.397320,-37.223410,1249.976350,13.238850,169.030000,-0.330000,1.160000,68140.649630,-36.166710,1235.545760,13.429310,168.760000,-0.460000,-0.150000,0.000435,0.011960,0.010558,0.196402,-0.660665
16,S01,L01,M14,3.130896,-0.000009,44.866135,-0.000296,False,68137.487350,-37.064510,1246.284470,13.339860,168.860000,-0.050000,1.210000,68141.679805,-36.252570,1232.117790,13.381620,168.820000,-0.300000,0.310000,0.000435,0.011953,0.010440,0.196131,-0.660030
