# cfgfile = ./initcfg/MYGI/MYGI.1504.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M15,2.455688,0.0,0.0,0.0,False,24619.541305,11.7509,1663.45487,15.61039,175.61,0.88,-0.7,24623.05855,12.52006,1653.80288,15.00783,176.43,-0.71,-0.5
1,S01,L01,M12,3.503097,0.0,0.0,0.0,False,24629.541705,13.7245,1636.12044,14.99382,177.87,-0.05,-1.83,24634.10636,13.78348,1624.15837,15.31663,178.34,-0.85,-0.13
2,S01,L01,M13,4.097843,0.0,0.0,0.0,False,24639.54213,14.68404,1609.7898,15.68838,178.99,1.11,-2.22,24644.70153,13.42086,1595.59007,14.89335,180.84,-0.47,0.93
3,S01,L01,M14,3.433406,0.0,0.0,0.0,False,24649.54246,13.86254,1582.69003,15.70561,183.1,-1.06,-1.68,24654.037425,13.13336,1571.38072,15.75754,184.51,1.83,-1.69
4,S01,L01,M15,2.399043,0.0,0.0,0.0,False,24659.542935,10.61494,1556.76952,15.70876,186.95,1.28,-0.36,24663.003535,9.82364,1547.14751,15.14801,187.79,-0.57,-2.03
5,S01,L01,M12,3.407767,0.0,0.0,0.0,False,24669.54325,6.25766,1530.15366,15.34265,188.74,-0.37,-1.89,24674.012575,3.47041,1518.39568,15.46601,188.77,-0.13,-1.1
6,S01,L01,M13,3.979988,0.0,0.0,0.0,False,24679.54367,-0.41279,1504.04911,15.4986,188.54,-0.69,0.82,24684.585215,-3.19191,1491.19456,15.6574,187.87,1.26,-1.31
7,S01,L01,M14,3.329976,0.0,0.0,0.0,False,24689.54408,-6.01811,1478.28485,15.48895,185.38,0.79,-0.64,24693.935615,-8.11917,1466.71054,15.17317,183.4,-0.76,-1.01
8,S01,L01,M15,2.350878,0.0,0.0,0.0,False,24699.544465,-10.71325,1452.16942,15.8984,182.57,0.76,-0.18,24702.9569,-11.34673,1442.91555,14.92339,181.74,-0.44,-0.7
9,S01,L01,M12,3.320697,0.0,0.0,0.0,False,24709.54485,-13.3037,1425.90803,15.52786,181.19,0.1,-0.59,24713.927105,-13.7232,1413.84125,14.8286,180.75,-0.27,-1.61
10,S01,L01,M13,3.864788,0.0,0.0,0.0,False,24719.545225,-15.58257,1399.43713,15.1777,178.9,-1.63,0.12,24724.47157,-15.84845,1386.76669,15.80552,176.47,0.75,-0.19
11,S01,L01,M14,3.236276,0.0,0.0,0.0,False,24729.545575,-14.89714,1373.63016,15.0002,174.22,-0.0,-1.49,24733.84341,-14.72526,1362.55511,15.80158,173.85,0.42,0.0
12,S01,L01,M15,2.310333,0.0,0.0,0.0,False,24739.54599,-13.05421,1347.67247,15.33419,172.93,0.71,-1.7,24742.91788,-12.80324,1338.63438,15.41655,173.08,-0.41,0.11
13,S01,L01,M12,3.228602,0.0,0.0,0.0,False,24749.54632,-10.73119,1321.39679,15.53115,173.03,-0.31,-0.36,24753.83648,-8.64729,1310.35819,15.19761,173.19,-0.36,-2.21
14,S01,L01,M13,3.751548,0.0,0.0,0.0,False,24759.54672,-7.4669,1295.62715,16.0869,172.59,0.69,-0.44,24764.359825,-5.45788,1283.07798,14.96883,173.08,0.27,-1.87
15,S01,L01,M14,3.155676,0.0,0.0,0.0,False,24769.537175,-3.9948,1269.6781,15.85759,173.1,0.08,0.36,24773.75441,-1.74901,1258.42233,14.92478,174.11,-0.39,-3.23
16,S01,L01,M15,2.278153,0.0,0.0,0.0,False,24779.537545,-1.06892,1243.3325,15.25516,175.9,-1.46,0.27,24782.877255,0.05278,1235.17822,15.64652,176.34,1.2,-1.72
17,S01,L01,M12,3.136487,0.0,0.0,0.0,False,24789.537905,0.23561,1217.53396,15.77185,178.01,1.21,0.42,24793.73595,1.92199,1206.47548,15.08246,177.38,-0.84,-3.4
18,S01,L01,M13,3.640178,0.0,0.0,0.0,False,24799.538295,0.82115,1191.29811,15.91347,176.88,0.23,0.3,24804.24003,2.2925,1179.22448,15.38352,176.31,0.84,-1.69
19,S01,L01,M14,3.076656,0.0,0.0,0.0,False,24809.538665,3.01658,1165.50251,15.41025,175.84,-0.09,-1.53,24813.67688,3.56091,1154.88047,15.66271,176.44,1.12,-0.88
20,S01,L01,M15,2.253823,0.0,0.0,0.0,False,24819.53906,3.92153,1139.34416,15.36478,177.36,-0.06,-0.25,24822.85444,4.81607,1130.78442,15.2888,178.12,0.34,-2.43
21,S01,L01,M12,3.051427,0.0,0.0,0.0,False,24829.53946,4.4877,1113.31598,15.76384,178.33,0.58,0.22,24833.652445,4.97301,1102.4342,15.12187,178.24,-0.08,-2.38
22,S01,L01,M13,3.531153,0.0,0.0,0.0,False,24839.53985,4.33729,1087.00305,15.32113,177.84,-0.43,0.65,24844.13256,5.3351,1075.29096,15.9982,176.53,0.54,-2.16
23,S01,L01,M14,3.000186,0.0,0.0,0.0,False,24849.54017,5.30334,1061.43859,15.78669,175.6,1.18,-0.43,24853.601915,5.88458,1050.60462,15.25531,175.3,0.26,-0.02
24,S01,L01,M15,2.238413,0.0,0.0,0.0,False,24859.540565,6.91209,1034.82288,14.92648,175.36,-0.98,-1.92,24862.840535,7.64105,1026.82395,15.80035,175.6,1.27,-0.62
25,S01,L01,M12,2.969902,0.0,0.0,0.0,False,24869.540975,9.07273,1008.67366,15.54163,175.76,0.3,-3.3,24873.572435,8.81388,997.86297,15.32671,177.09,1.02,0.47
26,S01,L01,M13,3.421708,0.0,0.0,0.0,False,24879.541405,10.15176,981.16183,15.0175,177.35,-0.49,-2.58,24884.02467,10.01115,968.77412,15.652,177.73,0.19,-0.31
27,S01,L01,M14,2.926711,0.0,0.0,0.0,False,24889.54178,10.94454,953.17381,15.46824,177.51,0.16,-2.09,24893.53005,10.91098,941.87383,15.64887,178.99,0.57,-0.83
28,S01,L01,M15,2.231838,0.0,0.0,0.0,False,24899.542175,11.23951,924.36867,15.65766,180.14,0.24,-2.66,24902.83557,10.60809,914.76887,15.52232,182.02,0.39,-1.12
29,S01,L01,M12,2.888957,0.0,0.0,0.0,False,24909.542535,9.48323,895.05642,15.83885,183.13,-0.21,-1.57,24913.49305,8.46489,883.22056,15.30309,183.52,-0.11,-1.52
30,S01,L01,M13,3.305563,0.0,0.0,0.0,False,24919.54298,6.31157,865.5075,15.89041,184.8,-0.74,0.31,24923.9101,5.40994,852.34878,15.54324,184.68,0.63,-1.85
31,S01,L01,M14,2.845926,0.0,0.0,0.0,False,24929.54336,3.04392,835.89797,15.6506,184.53,0.15,-1.2,24933.450845,1.53668,824.12091,15.48788,181.08,0.3,0.03
32,S01,L01,M15,2.235263,0.0,0.0,0.0,False,24939.543655,0.0725,805.9167,15.12597,178.26,-0.55,-0.48,24942.840475,-0.13135,796.4256,15.64689,177.29,0.76,-0.34
33,S01,L01,M12,2.814857,0.0,0.0,0.0,False,24949.54408,0.37128,775.97529,15.7359,175.69,0.44,-0.82,24953.420495,0.58719,764.50674,15.5911,175.72,0.25,-1.41
34,S01,L01,M13,3.189513,0.0,0.0,0.0,False,24959.54442,1.56632,746.10333,15.78019,175.07,0.76,0.19,24963.79549,2.69731,733.23508,15.67063,175.06,0.26,-1.3
35,S01,L01,M14,2.776776,0.0,0.0,0.0,False,24969.544815,4.02029,715.94519,15.57496,175.51,-0.18,-0.24,24973.38315,5.09052,704.39274,15.35692,175.45,0.04,-1.13
36,S01,L01,M15,2.250968,0.0,0.0,0.0,False,24979.54524,5.76761,686.06029,15.90072,177.22,0.87,-0.55,24982.857765,6.72245,675.40918,14.82235,178.24,-1.08,-1.38
37,S01,L01,M12,2.739987,0.0,0.0,0.0,False,24989.54559,6.50401,655.27582,14.98512,180.29,-1.47,-1.03,24993.347135,6.79844,644.1766,16.30796,181.3,0.95,-1.44
38,S01,L01,M13,3.075808,0.0,0.0,0.0,False,24999.54602,6.18372,625.15877,15.462,181.66,1.02,-2.7,25003.683385,4.40278,612.54907,15.3715,182.83,-0.53,0.52
39,S01,L01,M14,2.712346,0.0,0.0,0.0,False,25009.546425,3.36203,594.63819,15.4638,181.08,-0.07,-0.46,25013.32033,3.08682,583.01654,15.41359,181.16,-0.61,-1.32
40,S01,L01,M15,2.278503,0.0,0.0,0.0,False,25019.54681,2.06165,564.30975,15.28733,180.15,-0.92,-1.12,25022.88687,1.33738,554.46975,15.75462,179.63,0.59,-0.26
41,S01,L01,M12,2.678367,0.0,0.0,0.0,False,25029.54714,1.09655,534.16013,15.25933,178.78,0.27,-1.17,25033.287065,0.33588,522.8965,15.57786,177.68,-0.22,0.54
42,S01,L01,M13,2.966838,0.0,0.0,0.0,False,25039.537595,0.34533,503.78805,15.73094,176.8,1.09,-0.01,25043.56599,1.50021,491.47045,15.21442,176.2,-0.15,-0.92
43,S01,L01,M14,2.656981,0.0,0.0,0.0,False,25049.537955,2.16861,473.13308,15.16679,175.54,-0.68,-1.97,25053.256495,2.2515,462.37804,15.96234,175.59,2.25,0.22
44,S01,L01,M15,2.317153,0.0,0.0,0.0,False,25059.53838,3.7635,443.33889,15.39092,175.22,1.62,-1.98,25062.91709,4.25556,432.76407,15.56979,174.8,-0.93,-0.37
45,S01,L01,M12,2.620032,0.0,0.0,0.0,False,25077.538705,7.79045,388.61306,15.2556,177.61,-1.07,-1.63,25081.220295,8.0702,378.11319,16.07705,178.91,1.46,-1.78
46,S01,L01,M13,2.863783,0.0,0.0,0.0,False,25079.469145,7.78796,383.15802,15.73415,178.11,0.6,-1.13,25083.394485,8.59669,371.02551,15.0877,179.75,-0.77,-2.34
47,S01,L01,M14,2.614781,0.0,0.0,0.0,False,25089.53748,7.70773,352.98178,16.08035,181.13,-0.07,-1.12,25093.21382,7.5236,341.80613,15.11405,182.38,0.69,-1.69
48,S01,L01,M15,2.366193,0.0,0.0,0.0,False,25099.541875,6.44868,322.68549,15.1657,182.11,-0.67,-2.0,25102.969625,5.12805,312.4777,15.95002,180.09,-0.15,-0.27
49,S01,L01,M12,2.575057,0.0,0.0,0.0,False,25109.542225,4.92613,292.53207,15.28153,177.66,-1.76,-1.03,25113.17884,4.39141,282.54472,16.16031,176.4,2.15,0.42
50,S01,L01,M13,2.766718,0.0,0.0,0.0,False,25119.542625,5.31863,263.39857,15.30351,174.86,2.16,-1.07,25123.3709,6.20769,251.19858,15.19709,175.06,-2.39,0.28
51,S01,L01,M14,2.579201,0.0,0.0,0.0,False,25129.53903,7.64728,233.36903,15.74846,176.79,-0.92,-2.02,25133.17979,7.63777,222.74195,15.20058,178.64,0.65,0.14
52,S01,L01,M15,2.424678,0.0,0.0,0.0,False,25139.541445,8.33255,203.75121,15.38094,180.09,-0.7,-1.64,25143.02768,7.5723,193.44076,16.07088,180.66,1.31,-0.2
53,S01,L01,M12,2.537417,0.0,0.0,0.0,False,25149.54183,7.70096,174.1529,15.2415,181.38,1.58,-1.52,25153.140805,6.5411,162.85743,15.85517,181.44,-0.86,0.18
54,S01,L01,M13,2.676678,0.0,0.0,0.0,False,25159.54424,6.04416,143.34309,15.12183,179.24,-0.59,-2.55,25163.282475,4.49774,132.93617,15.85064,178.75,1.14,2.13
55,S01,L01,M14,2.552371,0.0,0.0,0.0,False,25169.53864,5.55388,114.23211,16.01385,176.51,1.31,-2.01,25173.15257,4.77792,103.01096,15.62737,176.48,-0.04,0.91
56,S01,L01,M15,2.492213,0.0,0.0,0.0,False,25179.53905,6.63935,83.92985,15.38669,176.75,-0.77,-1.34,25183.09282,6.4452,73.23293,15.94958,176.26,0.16,0.03
57,S01,L01,M12,2.510327,0.0,0.0,0.0,False,25189.539295,7.64412,53.70399,15.1173,176.49,-0.65,-1.28,25193.11118,7.86125,43.26057,15.72641,176.28,0.75,0.02
58,S01,L01,M13,2.592553,0.0,0.0,0.0,False,25199.529755,8.72303,23.67467,15.65634,176.03,1.73,-1.69,25203.183865,9.75662,12.32175,14.86946,176.74,-1.22,-1.44
