depth,speed
0.0,1504.945
10.0,1504.842
20.0,1504.523
30.0,1504.276
40.0,1503.49
50.0,1502.324
60.0,1501.036
70.0,1499.52
80.0,1497.697
90.0,1496.635
100.0,1495.282
110.0,1494.245
120.0,1491.793
130.0,1486.871
140.0,1482.511
150.0,1479.292
160.0,1478.27
170.0,1477.608
180.0,1476.537
190.0,1475.622
200.0,1475.815
250.0,1475.043
300.0,1475.708
350.0,1477.546
400.0,1475.979
450.0,1474.993
500.0,1473.566
550.0,1474.786
600.0,1474.321
700.0,1475.325
800.0,1477.445
900.0,1477.907
1200.0,1480.298
1727.8,1486.131
