# cfgfile = ./initcfg/MYGI/MYGI.1610.meiyo_m5-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M15,2.774653,0.0,0.0,0.0,False,72412.396465,1185.94696,1188.80639,13.97235,223.27,-0.43,4.33,72416.232675,1179.04401,1180.40466,13.02419,222.9,-0.36,-1.58
1,S01,L01,M12,2.973152,0.0,0.0,0.0,False,72413.186455,1184.15741,1187.20496,13.60642,222.97,-1.15,3.79,72417.221165,1176.9304,1178.58527,13.21749,222.55,-0.16,-0.67
2,S01,L01,M13,3.984193,0.0,0.0,0.0,False,72413.97644,1182.80711,1185.37574,13.14651,222.83,-1.31,2.1,72419.02219,1172.93054,1175.25973,13.03071,222.4,-0.36,0.84
3,S01,L01,M12,2.949592,0.0,0.0,0.0,False,72424.396515,1162.27484,1165.03329,13.22754,222.0,-1.52,1.23,72428.407665,1155.01395,1157.49498,13.07688,221.72,1.24,-1.38
4,S01,L01,M13,3.951513,0.0,0.0,0.0,False,72425.186505,1160.46108,1163.7467,13.49482,221.41,-1.23,2.16,72430.199575,1151.66233,1153.38331,12.55093,222.31,-1.95,-1.88
5,S01,L01,M14,3.936111,0.0,0.0,0.0,False,72425.97649,1158.76946,1162.42288,13.6231,221.0,-0.64,2.41,72430.97416,1150.07084,1152.21856,12.69798,222.14,-2.2,-0.26
6,S01,L01,M13,3.920293,0.0,0.0,0.0,False,72436.396575,1139.96137,1142.52018,12.81647,222.09,-0.43,-2.28,72441.378425,1130.40241,1134.6122,13.69821,221.3,0.57,3.09
7,S01,L01,M14,3.904071,0.0,0.0,0.0,False,72437.186765,1138.81621,1140.88582,12.63668,222.42,-0.64,-2.99,72442.152395,1129.19991,1133.14819,13.62081,221.72,0.94,1.9
8,S01,L01,M15,2.728078,0.0,0.0,0.0,False,72437.97665,1137.28728,1139.55642,12.73861,222.54,-0.97,-2.2,72441.766285,1129.79983,1133.91511,13.6866,221.49,0.87,2.56
9,S01,L01,M14,3.874456,0.0,0.0,0.0,False,72448.396715,1118.40792,1121.74037,13.05387,222.03,0.37,-0.32,72453.33273,1108.24213,1114.89106,14.04851,222.79,-0.44,4.69
10,S01,L01,M15,2.710398,0.0,0.0,0.0,False,72449.1867,1117.06697,1119.92846,12.68546,222.11,-0.97,-0.76,72452.958655,1109.02088,1115.42258,14.20984,222.91,-0.4,4.67
