depth,speed
0.0,1508.67
10.0,1508.687
20.0,1508.402
30.0,1506.7
40.0,1501.094
50.0,1497.394
60.0,1493.413
70.0,1486.763
80.0,1479.155
90.0,1475.005
100.0,1471.964
110.0,1469.741
120.0,1466.61
130.0,1466.399
140.0,1466.71
150.0,1467.537
160.0,1467.615
170.0,1470.232
180.0,1471.41
190.0,1471.611
200.0,1475.415
250.0,1475.858
300.0,1472.86
350.0,1475.692
400.0,1475.161
450.0,1472.366
500.0,1471.645
550.0,1473.706
600.0,1472.953
700.0,1473.34
800.0,1474.376
900.0,1475.595
1200.0,1478.932
1727.8,1485.938
